package,bullet_id,bullet_hash,text
broom,1,01821060202465d89aa62473bfa3ebe0,Addressed test failures on R-devel.
broom,2,2417dc5b89e61298acd66451aecc68f8,Fixed bug in `tidy.multinom()` where the `conf.level` argument would be ignored.
broom,3,b950ae607dc582f7b0545bdb3080b813,The default `data` argument for `augment.coxph()` and `augment.survreg()` has been transitioned from `NULL` to `model.frame(x)` (#1126 by `@​capnrefsmmat`).
broom,4,12007bef0f60ea93de8219e4868fe88a,"Migrated 'ggplot2' from strong to weak dependency, i.e. moved from `Imports` to `Suggests`."
broom,5,80d81a33bf584f312fe0748c52490d04,"Fixed a bug where `augment()` results would not include residuals when the response term included a function call (#1121, #946, #937, #124)."
broom,6,1420443d94b4fae91af5cfab11728487,Improves performance of `tidy.lm()` and `tidy.glm()` for full-rank fits (#1112 by `@​capnrefsmmat`).
broom,7,a8a93e6f2b85fdf4c6c5b4d15068bafd,"Moves forward with deprecation of tidiers for sparse matrices outputted from the Matrix package, initially soft-deprecated in broom 0.5.0. The Matrix tidiers were light wrappers around coercion methods that will now be deprecated from Matrix itself in the upcoming 1.4-2 release. The affected methods are `tidy.sparseMatrix()`, `tidy.dgCMatrix()`, and `tidy.dgTMatrix()`. Note that `tidy.confusionMatrix()`, for relevant objects outputted from the caret package, is unaffected (#1113)."
broom,8,d980d0d2b54faa6bb558525070605b86,`tidy.anova()` works again with `anova` objects from the `lme4` package (broken by addition of the `terms` column in the previous release)
broom,9,4c66b2c7876e2c4916300dff3d7d9ec2,Adds minimal ellipsis checking to warn on commonly misspecified arguments passed through ellipses. Notably:
broom,9,4c66b2c7876e2c4916300dff3d7d9ec2,• `tidy()` methods will now warn when supplied an `exponentiate` argument if it will be ignored.
broom,9,4c66b2c7876e2c4916300dff3d7d9ec2,• `augment()` methods will now warn when supplied a `newdata` argument if it will be ignored.
broom,12,ad50360895114a035a0398f34121ccb6,"The warning regarding tidiers only maintained via dispatch to `lm` and `glm` is now displayed only once per session, per unique dispatch. That is, if a `class_a` object is tidied using a `(g)lm` method, broom will not warn when tidying `class_a` objects for the rest of the session, but if a `class_b` object is tidied using a `(g)lm` method in the same session, broom will warn again (#1101)."
broom,13,38e1b922d499d53c4a4533dc4fc4af43,Add `exponentiate` argument to `tidy.boot()` (#1039).
broom,14,e7cd3d83acc75c613c2a7ccf95c24d0f,Update in `tidy.htest()` converting matrix-columns to vector-columns (#1081).
broom,15,7bfcffdccbe3aa7f798ae121b0ffcba8,Address failures in `tidy.glht()` with `conf.int = TRUE` (#1103).
broom,16,d01b4f24411e35b3344c3882ee10c231,Address failures in `tidy.zoo()` when input data does not have `colnames` (#1080).
broom,17,5334f38a6ac550cfba0b1599912f2cec,Transition tidiers for bivariate linear or spline-based interpolation---using list tidiers to interface with objects from the akima package is now considered off-label. See the interp package for a FOSS alternative.
broom,18,fc15d211ec3cb30830f731f9c037e60b,"Address failures in `tidy.svyolr()` when `p.values = TRUE`. Instead of aliasing `tidy.polr()` directly, `tidy.svyolr()` lightly wraps that method and warns if `p.values` is supplied (#1107)."
broom,19,b0deb18ac2a13b9c3490c67d081f885a,Adds a `term` column and introduces support for `car::lht()` output in `tidy.anova()` (#1106 by `@​grantmcdermott`).
broom,20,39885e668a2b17329a9c4786f7848433,"Adds a dedicated `glance.anova` method (which previously dispatched to the\ deprecated `glance.data.frame()` tidier, #1106 by `@​grantmcdermott`)."
broom,21,4696ca3bf834a646c0a0616722a1c655,Makes many improvements to documentation:
broom,21,4696ca3bf834a646c0a0616722a1c655,• All tidiers now have example code demonstrating usage in their documentation. Tidiers for base packages as well as selected others also include sample code for visualization of results with ggplot2.
broom,21,4696ca3bf834a646c0a0616722a1c655,"• Code examples in the documentation largely now follow consistent style---these changes were made largely to reflect the tidyverse style guide, addressing spacing, object naming, and commenting, among other things."
broom,21,4696ca3bf834a646c0a0616722a1c655,• Examples previously marked with `\dontrun` or `\donttest` have been workshopped to run reliably.
